game_id,game_date,team_abbrev,home_away,shots_for,shots_against,goals_for,goals_against
2023020054,2023-10-19,PHI,home,32,23,4,1
2023020054,2023-10-19,EDM,away,23,32,1,4
2023020055,2023-10-19,TBL,home,36,29,4,3
2023020055,2023-10-19,VAN,away,29,36,3,4
2023020056,2023-10-19,MIN,home,32,27,3,7
2023020056,2023-10-19,LAK,away,27,32,7,3
2023020057,2023-10-19,STL,home,26,42,2,6
2023020057,2023-10-19,ARI,away,42,26,6,2
2023020058,2023-10-19,WPG,home,39,27,3,5
2023020058,2023-10-19,VGK,away,27,39,5,3
2023020059,2023-10-19,ANA,home,29,24,2,3
2023020059,2023-10-19,DAL,away,24,29,3,2
2023020060,2023-10-19,SEA,home,36,36,7,4
2023020060,2023-10-19,CAR,away,36,36,4,7
2023020061,2023-10-19,COL,home,41,18,4,0
2023020061,2023-10-19,CHI,away,18,41,0,4
2023020062,2023-10-19,SJS,home,27,36,1,3
2023020062,2023-10-19,BOS,away,36,27,3,1
2023020063,2023-10-20,CBJ,home,29,37,3,1
2023020063,2023-10-20,CGY,away,37,29,1,3
2023020064,2023-10-20,NYI,home,32,39,4,5
2023020064,2023-10-20,NJD,away,39,32,5,4
2023020065,2023-10-21,OTT,home,37,23,2,5
2023020065,2023-10-21,DET,away,23,37,5,2
2023020066,2023-10-21,ARI,home,27,33,2,1
2023020066,2023-10-21,ANA,away,33,27,1,2
2023020067,2023-10-21,BUF,home,42,25,3,1
2023020067,2023-10-21,NYI,away,25,42,1,3
2023020068,2023-10-21,FLA,home,36,31,3,5
2023020068,2023-10-21,VAN,away,31,36,5,3
2023020069,2023-10-21,MTL,home,28,33,3,2
2023020069,2023-10-21,WSH,away,33,28,2,3
2023020070,2023-10-21,TBL,home,31,52,3,4
2023020070,2023-10-21,TOR,away,52,31,4,3
2023020071,2023-10-21,CHI,home,24,24,3,5
2023020071,2023-10-21,VGK,away,24,24,5,3
2023020072,2023-10-21,DAL,home,25,40,5,4
2023020072,2023-10-21,PHI,away,40,25,4,5
2023020073,2023-10-21,MIN,home,28,54,4,5
2023020073,2023-10-21,CBJ,away,54,28,5,4
2023020074,2023-10-21,NSH,home,34,32,5,1
2023020074,2023-10-21,SJS,away,32,34,1,5
2023020075,2023-10-21,STL,home,21,33,4,2
2023020075,2023-10-21,PIT,away,33,21,2,4
2023020076,2023-10-21,COL,home,27,27,6,4
2023020076,2023-10-21,CAR,away,27,27,4,6
2023020077,2023-10-21,EDM,home,40,27,2,3
2023020077,2023-10-21,WPG,away,27,40,3,2
2023020078,2023-10-21,SEA,home,19,27,1,4
2023020078,2023-10-21,NYR,away,27,19,4,1
2023020079,2023-10-21,LAK,home,34,25,2,4
2023020079,2023-10-21,BOS,away,25,34,4,2
2023020080,2023-10-22,DET,home,30,31,6,2
2023020080,2023-10-22,CGY,away,31,30,2,6
2023020081,2023-10-22,ANA,home,31,26,1,3
2023020081,2023-10-22,BOS,away,26,31,3,1
2023020082,2023-10-23,BUF,home,37,27,1,3
2023020082,2023-10-23,MTL,away,27,37,3,1
2023020083,2023-10-24,WSH,home,38,17,1,4
2023020083,2023-10-24,TOR,away,17,38,4,1
2023020084,2023-10-24,CBJ,home,37,27,2,3
2023020084,2023-10-24,ANA,away,27,37,3,2
2023020085,2023-10-24,OTT,home,38,24,4,6
2023020085,2023-10-24,BUF,away,24,38,6,4
2023020086,2023-10-24,TBL,home,23,32,3,0
2023020086,2023-10-24,CAR,away,32,23,0,3
2023020087,2023-10-24,MTL,home,29,34,2,5
2023020087,2023-10-24,NJD,away,34,29,5,2
2023020088,2023-10-24,PIT,home,39,34,1,4
2023020088,2023-10-24,DAL,away,34,39,4,1
2023020089,2023-10-24,FLA,home,36,28,3,1
2023020089,2023-10-24,SJS,away,28,36,1,3
2023020090,2023-10-24,NYI,home,32,38,4,7
2023020090,2023-10-24,COL,away,38,32,7,4
2023020091,2023-10-24,DET,home,27,38,4,5
2023020091,2023-10-24,SEA,away,38,27,5,4
2023020092,2023-10-24,CHI,home,23,43,0,3
2023020092,2023-10-24,BOS,away,43,23,3,0
2023020093,2023-10-24,WPG,home,30,20,4,2
2023020093,2023-10-24,STL,away,20,30,2,4
2023020094,2023-10-24,MIN,home,32,28,7,4
2023020094,2023-10-24,EDM,away,28,32,4,7
2023020095,2023-10-24,NSH,home,18,24,2,3
2023020095,2023-10-24,VAN,away,24,18,3,2
2023020096,2023-10-24,CGY,home,26,20,1,3
2023020096,2023-10-24,NYR,away,20,26,3,1
2023020097,2023-10-24,LAK,home,28,27,6,3
2023020097,2023-10-24,ARI,away,27,28,3,6
2023020098,2023-10-24,VGK,home,29,28,3,2
2023020098,2023-10-24,PHI,away,28,29,2,3
