team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date,team_slug,player_id
new-york-islanders,tampa-bay-lightning,David Rittich,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-13,,
new-york-rangers,montreal-canadiens,Igor Shesterkin,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-13,,
new-york-rangers,montreal-canadiens,Jonathan Quick,Backup Goalie,g2,Goalies,g,32.0,,False,2025-12-13,,
ottawa-senators,minnesota-wild,Linus Ullmark,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-13,,
ottawa-senators,minnesota-wild,Leevi Merilainen,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-13,,
philadelphia-flyers,carolina-hurricanes,Dan Vladar,Starting Goalie,g1,Goalies,g,80.0,,False,2025-12-13,,
philadelphia-flyers,carolina-hurricanes,Samuel Ersson,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-13,,
pittsburgh-penguins,san-jose-sharks,Arturs Silovs,Starting Goalie,g1,Goalies,g,,,False,2025-12-13,,
pittsburgh-penguins,san-jose-sharks,Sergei Murashov,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-13,,
san-jose-sharks,pittsburgh-penguins,Yaroslav Askarov,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-13,,
san-jose-sharks,pittsburgh-penguins,Alex Nedeljkovic,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-13,,
tampa-bay-lightning,new-york-islanders,Jonas Johansson,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-13,,
tampa-bay-lightning,new-york-islanders,Brandon Halverson,Backup Goalie,g2,Goalies,g,,,False,2025-12-13,,
toronto-maple-leafs,edmonton-oilers,Dennis Hildeby,Starting Goalie,g1,Goalies,g,,,False,2025-12-13,,
toronto-maple-leafs,edmonton-oilers,Artur Akhtyamov,Backup Goalie,g2,Goalies,g,,,False,2025-12-13,,
vegas-golden-knights,columbus-blue-jackets,Carter Hart,Starting Goalie,g1,Goalies,g,79.0,,False,2025-12-13,,
vegas-golden-knights,columbus-blue-jackets,Akira Schmid,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-13,,
washington-capitals,winnipeg-jets,Logan Thompson,Starting Goalie,g1,Goalies,g,48.0,,False,2025-12-13,,
washington-capitals,winnipeg-jets,Charlie Lindgren,Backup Goalie,g2,Goalies,g,79.0,,False,2025-12-13,,
winnipeg-jets,washington-capitals,Connor Hellebuyck,Starting Goalie,g1,Goalies,g,37.0,,False,2025-12-13,,
winnipeg-jets,washington-capitals,Eric Comrie,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-13,,
boston-bruins,minnesota-wild,Jeremy Swayman,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-14,,
boston-bruins,minnesota-wild,Joonas Korpisalo,Backup Goalie,g2,Goalies,g,70.0,,False,2025-12-14,,
buffalo-sabres,seattle-kraken,Alex Lyon,Starting Goalie,g1,Goalies,g,34.0,,False,2025-12-14,,
buffalo-sabres,seattle-kraken,Ukko-Pekka Luukkonen,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-14,,
carolina-hurricanes,philadelphia-flyers,Brandon Bussi,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-14,,
carolina-hurricanes,philadelphia-flyers,Pyotr Kochetkov,Backup Goalie,g2,Goalies,g,52.0,,False,2025-12-14,,
edmonton-oilers,montreal-canadiens,Calvin Pickard,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-14,,
edmonton-oilers,montreal-canadiens,Tristan Jarry,Backup Goalie,g2,Goalies,g,,,False,2025-12-14,,
minnesota-wild,boston-bruins,Filip Gustavsson,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-14,,
